NameMix,FullName,Gender,Birth Year,Start Year,End Year,Race,Degree,Major,PreFed_clean,SaltFresh
Christopher J. Waller,Christopher J. Waller,1.0,1959.0,2020.0,9999.0,W,PhD,Economics,Professional Economist,3.0
Waller,,1.0,,-9999.0,9999.0,,PhD,,,
Henry C. Wallich,Henry C. Wallich,1.0,1914.0,1974.0,1986.0,W,PhD,Economics,Academic Economist,1.0
Kevin M. Warsh,Kevin M. Warsh,1.0,1970.0,2006.0,2011.0,W,JD,Law,Banking/Finance/Fed,
Edward A. Wayne,Edward A. Wayne,1.0,1903.0,1961.0,1968.0,W,None/unknown,,Banking/Finance/Fed,
Laurence F. Whittemore,Laurence F. Whittemore,1.0,1894.0,1946.0,1948.0,W,None/unknown,,Business/Industry,
Mark H. Willes,Mark H. Willes,1.0,1941.0,1977.0,1980.0,W,PhD,Economics,Academic Economist,1.0
Alfred H. Williams,Alfred H. Williams,1.0,1893.0,1941.0,1958.0,W,PhD,Economics,Academic Economist,1.0
John C. Williams,John C. Williams,1.0,1962.0,2011.0,2018.0,W,PhD,Economics,Professional Economist,1.0
John C. Williams,John C. Williams,1.0,1962.0,2018.0,9999.0,W,PhD,Economics,Professional Economist,1.0
Willis J. Winn,Willis J. Winn,1.0,1917.0,1971.0,1982.0,W,PhD,Finance,Academic Economist,
Janet L. Yellen,Janet L. Yellen,0.0,1946.0,1994.0,1997.0,W,PhD,Economics,Academic Economist,1.0
Janet L. Yellen,Janet L. Yellen,0.0,1946.0,2004.0,2010.0,W,PhD,Economics,Academic Economist,1.0
Janet L. Yellen,Janet L. Yellen,0.0,1946.0,2010.0,2018.0,W,PhD,Economics,Academic Economist,1.0
Roy A. Young,Roy A. Young,1.0,1882.0,1930.0,1942.0,W,None/unknown,,Banking/Finance/Fed,
Clifford S. Young,Clifford S. Young,1.0,,1941.0,1956.0,W,None/unknown,,Banking/Finance/Fed,
